	('treatment: A549 1hr ires', 'cell line: A549', 'drug: ires', 'time: 1hr', 'custom: b')	('treatment: A549 24hr ires', 'cell line: A549', 'drug: ires', 'time: 24hr', 'custom: a')	('treatment: A549 1hr glee', 'cell line: A549', 'drug: glee', 'time: 1hr', 'custom: h')	('treatment: A549 24hr glee', 'cell line: A549', 'drug: glee', 'time: 24hr', 'custom: g')	('treatment: A549 1hr criz', 'cell line: A549', 'drug: criz', 'time: 1hr', 'custom: n')	('treatment: MKN-45 1hr criz', 'cell line: MKN-45', 'drug: criz', 'time: 1hr', 'custom: r')	('treatment: MKN-45 3hr criz', 'cell line: MKN-45', 'drug: criz', 'time: 3hr', 'custom: q')	('treatment: MKN-45 6hr criz', 'cell line: MKN-45', 'drug: criz', 'time: 6hr', 'custom: p')	('treatment: MKN-45 24hr criz', 'cell line: MKN-45', 'drug: criz', 'time: 24hr', 'custom: o')	('treatment: H1703 1hr glee', 'cell line: H1703', 'drug: glee', 'time: 1hr', 'custom: m')	('treatment: H1703 3hr glee', 'cell line: H1703', 'drug: glee', 'time: 3hr', 'custom: l')	('treatment: H1703 6hr glee', 'cell line: H1703', 'drug: glee', 'time: 6hr', 'custom: k')	('treatment: H1703 24hr glee1', 'cell line: H1703', 'drug: glee', 'time: 24hr', 'custom: j')	('treatment: H1703 24hr glee2', 'cell line: H1703', 'drug: glee', 'time: 24hr', 'custom: i')	('treatment: H2228 1hr criz', 'cell line: H2228', 'drug: criz', 'time: 1hr', 'custom: t')	('treatment: H2228 3hr criz', 'cell line: H2228', 'drug: criz', 'time: 3hr', 'custom: s')	('treatment: H3122 1hr criz', 'cell line: H3122', 'drug: criz', 'time: 1hr', 'custom: v')	('treatment: H3122 3hr criz', 'cell line: H3122', 'drug: criz', 'time: 3hr', 'custom: u')	('treatment: H3255 1hr ires', 'cell line: H3255', 'drug: ires', 'time: 1hr', 'custom: f')	('treatment: H3255 3hr ires', 'cell line: H3255', 'drug: ires', 'time: 3hr', 'custom: e')	('treatment: H3255 6hr ires', 'cell line: H3255', 'drug: ires', 'time: 6hr', 'custom: d')	('treatment: H3255 24hr ires', 'cell line: H3255', 'drug: ires', 'time: 24hr', 'custom: c')
('PTM: XRCC6-S319', 'Amino Acid: Serine')	-0.516720436	0.010217026	-0.262782306	-0.312472792	-0.297366438	-0.193676833	-0.074266611	-0.427371673	-0.199996728	0.071343734	-0.296028698	-0.014380101	-0.31443153	-0.234780005	0.02969317	0.603880054	nan	nan	0.510576507	0.477333496	0.871740557	1.605924368
('PTM: EPRS-T467', 'Amino Acid: Threonine')	-0.677706318	-0.398937301	0.088957173	-0.654905775	-0.121610543	nan	nan	nan	nan	-0.675113721	-0.869929869	-0.81167759	-0.376908871	-0.493064861	0.681556148	0.775159324	-0.244695264	0.085095261	0.592788983	-0.064727112	0.173605247	0.983976223
('PTM: STIM1-S512', 'Amino Acid: Serine')	0.276100494	0.574169354	0.120093764	0.668667734	0.15188808	nan	nan	nan	nan	0.558144535	0.547070261	0.12561469	0.370314807	0.76224293	0.266566781	-0.077617949	0.327312405	0.341240024	0.276239761	0.235643852	0.090766042	0.024309406
('PTM: NUCKS1-S19', 'Amino Acid: Serine')	0.324376632	0.650477865	0.281855374	0.113448985	0.330425622	-0.859460183	-0.234219838	0.293951372	0.329010215	0.390146967	-0.060571157	0.09342601	0.257929407	0.52307648	0.232049651	0.479448019	0.159972375	0.163846046	0.148810097	-0.201716095	0.30723643	0.356385926
('PTM: AJUBA-S69', 'Amino Acid: Serine')	0.059183697	0.798308443	0.273433509	0.005713686	0.5065631	0.383716727	0.398066029	-0.547910087	-0.121696549	-0.264512701	0.758319948	-0.130854058	-0.924542991	0.044849466	0.436088767	0.418057862	0.296586974	0.929757737	nan	nan	nan	nan
('PTM: CDK1-T14', 'Amino Acid: Threonine')	0.351025608	1.475445332	0.827140717	0.387046307	0.297028637	0.76631038	-0.962553653	-4.68620819	-2.69203023	0.041877264	-0.317574077	-0.331231792	1.193186725	0.049044739	-0.369463746	0.106187512	0.183338567	-0.037572793	2.534396764	1.63905152	-0.179879796	0
('PTM: NDNL2-S60', 'Amino Acid: Serine')	0.393064072	0.361857657	0.164542319	0.292768633	0.42526695	nan	nan	nan	nan	0.61527445	0.880868742	0.056045104	0.662948591	0.397000259	0.311423563	0.264580665	-0.379039256	0.073195058	-0.326562946	-0.541381045	0.199512538	0.818343822
('PTM: MAF1-S75', 'Amino Acid: Serine')	-0.267429109	-0.14495208	0.191312077	0.115750009	0.276910628	-1.177240511	-1.068254472	-1.370855759	-0.905932751	-1.30212478	-0.477675158	-0.889474425	-1.054408435	-1.0049583	nan	nan	-1.680597053	-1.07793308	-2.782847997	-1.657161122	-1.571906957	-1.993276538
('PTM: LAS1L-S560', 'Amino Acid: Serine')	0.743958238	0.613893	0.305935937	0.672057593	0.536354716	0.468545132	0.073542379	0.349990753	0.278070076	0.447899552	0.296458499	0.105128054	0.278103079	0.478682223	-0.002053	0.202056386	0.140506117	0.090825013	-0.136621557	-0.237554755	-0.207679475	0.599786887
('PTM: TAF15-S180', 'Amino Acid: Serine')	0.14153253	0.040103568	0.150409079	0.430402542	0.161179167	0.731212844	0.542393491	0.163868723	0.20378031	0.391604061	0.401185421	0.211669488	0.564225433	0.995919825	0.679782724	0.367388041	-0.188509081	1.200345884	-0.239145755	0.795881067	1.744075623	2.280539503
('PTM: ATAD2-S1302', 'Amino Acid: Serine')	0.275117031	1.154440149	0.63622849	0.812989507	0.308895564	0.072676118	-0.190545616	-0.436252866	-0.920326325	0.073214804	-0.171519101	-0.004869244	0.221027732	0.305724912	0.23343829	-0.02861294	-0.143973359	0.495196965	0.317774748	0.202587617	0.84610547	0.717877742
('PTM: DOCK1-S1743', 'Amino Acid: Serine')	0.094815	0.672550932	0.621827422	0.420203664	0.512814374	nan	nan	nan	nan	0.115054371	-0.151002928	0.067696973	-0.138490627	-0.000357348	-0.157937099	-0.261613863	-0.271093302	-0.239832823	-0.829635695	-0.825043378	-0.523382134	-0.672031881
('PTM: ANKRD54-S63', 'Amino Acid: Serine')	-0.076327276	0.0158047	-0.129139674	0.211683464	0.047668332	0.225244691	0.322918539	0.493349528	0.614476702	-0.102035187	-0.150238068	0.238322044	-0.031924661	0.192721609	-0.054738721	0.05601301	0.10759482	0.233583478	nan	nan	nan	nan
('PTM: PSMD2-S363', 'Amino Acid: Serine')	0.051563002	0.23167941	0.167018319	0.259200876	0.235016156	nan	nan	nan	nan	0.281210112	0.203813971	0.018372808	0.032821128	0.209110097	0.049952012	0.111219334	0.122836983	0.205465335	0.256578659	0.130287375	0.128285349	-0.078691629
('PTM: MTMR10-S751', 'Amino Acid: Serine')	0.296547363	1.114265537	0.629666327	0.859569349	0.48007827	-0.247191948	-0.261620943	-0.550733929	-0.387758768	-0.183918723	0.010264786	-0.317908665	-0.456684731	-0.447863733	-0.675250328	-0.896687578	-0.299646746	-0.347893127	nan	nan	nan	nan
('PTM: OGFR-S361', 'Amino Acid: Serine')	0.271513003	0.657593361	0.485201216	0.429286873	0.405662701	-0.005882367	0.158186496	0.368187906	0.458167424	0.20083449	0.137998882	-0.006904379	0.286256772	0.425889747	0.108733631	0.443549533	0.221459981	1.239077556	0.277543463	0.516343183	1.432505827	0.945227368
('PTM: EIF3A-T574', 'Amino Acid: Threonine')	-0.893879645	-1.336841536	-0.956051781	-2.121084235	-0.761587768	nan	nan	nan	nan	-0.307440123	-0.887440636	-0.43638422	-0.590233943	-0.69255264	0.777186429	0.936278197	0.134393327	0.279708163	0.48433927	0.287790704	-0.341356866	-0.984337254
('PTM: PPFIA3-T714', 'Amino Acid: Threonine')	0.197569846	0.48240674	0.029313129	0.448814138	0.39661784	-0.02381222	-0.16188508	-0.095898081	-0.039478724	0.420003822	0.140100004	0.062805839	0.044638807	0.109686034	nan	nan	0.06444339	0.050333033	0.057399068	-0.102079848	-0.230243919	-0.389058287
('PTM: RANBP2-S1835', 'Amino Acid: Serine')	0.285349691	0.857518665	0.46668233	0.625137057	0.631572493	0.648455511	0.323691894	0.072999145	0.679998342	-0.173187671	0.242895404	-0.23342624	0.201070367	0.005301625	-0.645557691	-0.89593538	nan	nan	0.299519548	0.001567678	-0.21263687	0.029337452
('PTM: PDXDC1-S779', 'Amino Acid: Serine')	0.08464144	0.498422811	0.451326883	0.378978991	0.272367006	0.450819638	0.054414973	0.018434364	0.126962429	0.178534735	0.107850939	-0.166630559	-0.081680488	-0.055848979	nan	nan	0.095978271	-0.088485995	0.161799309	-0.114206529	-0.789282569	0.078721504
('PTM: SMG1-S3556', 'Amino Acid: Serine')	0.185322439	0.622808085	0.58965722	0.415766461	0.489038101	0.248509013	-0.01016474	0.127262859	0.316879367	0.379846142	-0.102108457	0.067737509	0.160533849	0.106619646	-0.110653864	-0.156907194	-0.177208746	-0.148882451	0.081988518	-0.105900678	-0.624021836	-0.836754642
('PTM: SETDB1-S1066', 'Amino Acid: Serine')	0.141671889	-0.831597762	-0.050197044	-0.502947169	0.190861588	0.063599205	-0.048944211	-0.100204316	-1.031920576	-0.096456621	-0.124798788	-0.294528514	-0.774584348	-0.718034836	-0.042631427	0.032555831	0.241105763	0.320021656	0.75454738	0.216865141	-0.209117363	-0.678563759
('PTM: TCOF1-S328', 'Amino Acid: Serine')	-0.006731208	0.174360823	-0.04659065	0.218486217	-0.143510961	0.711634661	0.343254393	-0.069452594	-0.296113369	0.457319808	0.562900361	0.616696481	0.737777719	0.908950471	-0.643206979	-0.596612769	-0.469061005	0.628096634	nan	nan	nan	nan
('PTM: HDAC7-S155', 'Amino Acid: Serine')	0.355714061	0.490816838	0.28983223	0.404441617	0.400166948	-0.025783345	-0.05282953	-0.185898648	-0.118350736	0.181777625	0.297003543	0.099758103	-0.049215949	0.16194541	-0.076770627	-0.05133963	0.186712115	0.117057211	0.028354611	-0.137412679	-0.324042532	-0.753208279
('PTM: CEP250-S2229', 'Amino Acid: Serine')	-0.382616939	0.958680387	-0.162056602	0.540377166	0.686684279	0.353799102	-1.143205128	0.576297932	0.644847021	0.571316436	0.446172839	-0.322982765	0.125477085	-0.527125085	-0.158890169	-0.274990652	-0.097406727	-0.200827811	-0.214008973	-0.493986743	-0.495083705	-1.63642546
('PTM: EIF4B-S219', 'Amino Acid: Serine')	-0.08825267	0.108275533	-0.262215505	-0.035412297	0.309527413	0.010105623	0.031585183	-0.29327198	-0.567767115	0.296261042	0.288450785	0.246910185	-0.092573337	0.107924202	-1.238865266	-0.861505555	0.004412916	0.285003295	nan	nan	nan	nan
('PTM: RALY-T275', 'Amino Acid: Threonine')	0.079975031	0.432124028	0.26954271	0.31901526	0.43399055	0.111298637	-0.385586685	-0.168479637	-0.340104279	0.5706924	-0.108528388	0.209044468	0.201260562	0.267264172	-0.012744961	0.049768967	0.10776222	0.253561727	0.27946257	-0.191135786	-0.513572557	-0.911824934
('PTM: RIF1-S1542', 'Amino Acid: Serine')	-0.125819123	0.199994767	-0.099942994	0.445278976	-0.12995321	-0.634216855	-0.479640917	-0.696084947	-1.391786198	0.183476711	0.435277004	0.055474532	-0.126087791	0.018129074	0.016983351	-0.221644082	-0.068890268	0.370340137	1.096581234	0.348140128	1.162779576	-1.174978693
('PTM: MEF2D-S446', 'Amino Acid: Serine')	0.197733274	0.004776661	0.399865651	-0.141371135	0.282245123	0.449079609	0.496872052	0.560285503	0.637138009	0.427061001	0.0774381	0.009447299	0.160495182	0.247270162	0.292576112	0.264956376	0.066639118	0.086402353	0.404920581	0.217856942	0.231746047	0.574355171
('PTM: UPF1-S1107', 'Amino Acid: Serine')	0.14511725	0.47585642	0.411670759	0.334123994	0.406503409	nan	nan	nan	nan	0.314659392	0.229932007	0.022240418	-0.269580359	-0.354798595	-0.016935626	0.004021647	0.193440861	0.081032518	-0.08703066	-0.453769583	-0.780055096	-0.955987733
('PTM: SH3KBP1-S165', 'Amino Acid: Serine')	0.417062889	0.935643744	0.341669179	0.455379848	0.374070428	nan	nan	nan	nan	0.689339411	0.391640197	0.613749746	0.666170721	0.697173646	-0.087473723	0.269118979	0.138136434	0.526787898	0.023974595	0.282635784	1.669148602	0.8026077
('PTM: GTSE1-S245', 'Amino Acid: Serine')	0.210049342	-0.183409904	0.165120404	0.29035866	0.556227238	nan	nan	nan	nan	0.320457078	0.236948311	0.024771647	-0.209884794	-0.058520441	-0.990300982	-0.521885413	0.096897983	-0.067569732	0.502547287	0.222871135	0.09602495	-0.245429774
('PTM: SRSF3-T70', 'Amino Acid: Threonine')	0.092236464	0.961063872	0.245311054	0.221945837	0.208496737	0.367488768	0.533981746	0.182060102	0.462961553	0.180376245	0.453854451	0.209616594	0.255002807	0.635074057	0.055076806	0.019288741	0.062953352	0.250311653	0.115416553	-0.214832029	-0.033063104	1.275401149
('PTM: KANK2-S540', 'Amino Acid: Serine')	-0.591789639	0.662856679	0.206936845	0.559444927	0.398142208	nan	nan	nan	nan	-0.941385992	-0.927385954	-1.301849001	-1.109664618	-1.005875406	-1.430253707	-1.456617081	-2.616284862	-2.026063022	-1.614106223	-1.796958062	-1.607659731	-1.866105056
('PTM: PPP1R12A-S507', 'Amino Acid: Serine')	-0.538549561	1.33297873	-0.020150212	0.83613578	0.465454309	-2.093574471	-1.922947753	-2.593258466	-2.325497925	-0.179558407	-0.091873974	-0.404449329	0.076279936	0.224834297	-1.613910537	-1.446515917	-2.463553719	-2.050278	-1.015547433	-0.982934495	-0.188365467	-0.817811132
('PTM: CIRBP-S146', 'Amino Acid: Serine')	-0.04701996	-0.163698594	0.059538601	-0.270287992	0.070929122	nan	nan	nan	nan	0.234932657	-0.166353536	0.125782349	0.087124995	-0.028400921	0.146078312	0.204549561	-0.218523246	0.242379938	0.982142283	0.94826714	0.560599146	0.718301071
('PTM: HSPA1B-T226', 'Amino Acid: Threonine')	0.071113699	0.302875662	0.263607927	0.033141611	0.29504844	-0.008059406	-0.408364425	-0.467299795	-0.267514318	0.880391509	1.373728148	0.329760225	0.74887243	0.842777623	-0.282402709	-0.357744157	0.228816958	0.066535342	0.178223743	-0.035162278	-0.219100446	-0.352569745
('PTM: ARHGAP21-S476', 'Amino Acid: Serine')	0.207452711	0.328352443	0.831664271	0.208138691	0.494794014	0.770136742	0.615635714	-0.271349357	0.359963473	-0.183897355	-0.269515786	-0.27540369	-0.285034401	-0.527751816	nan	nan	-0.553401131	-0.446160434	0.397861208	0.374323716	0.078818855	-1.614708293
('PTM: PCM1-S121', 'Amino Acid: Serine')	-0.309985965	-0.570061757	-0.054568258	-0.377084506	0.078417152	0.603993893	0.640946524	0.17159518	0.294007044	0.22497228	0.025976112	-0.101325958	0.048268896	-0.094959799	-0.519925229	-0.290811306	-0.183614002	0.114257017	-0.013431738	0.0805973	-0.368304965	-0.106053522
('PTM: CASKIN2-T848', 'Amino Acid: Threonine')	0.211097507	0.69626338	0.159092454	0.381467137	0.527609798	0.068026846	0.02771239	-0.121982935	0.030033848	0.269826254	0.127814634	0.022370259	-0.556234251	-0.469076767	0.03711382	-0.042778061	0.271568718	0.073474008	0.175751559	-0.092732597	-0.282315684	-0.868685574
('PTM: TCOF1-S1410', 'Amino Acid: Serine')	0.186121931	1.069825624	0.168540173	0.325645671	0.287523687	0.04112541	0.105236488	0.042313396	-0.071862284	0.857863078	0.676398207	0.762157832	0.76408852	0.907836196	nan	nan	0.044363129	0.98683483	0.22448753	0.524195627	2.12304872	1.4654775
('PTM: DISP2-S1252', 'Amino Acid: Serine')	0.135006964	0.409371036	0.382921296	-0.080256354	0.432830568	-0.598292437	-0.911864907	-1.153003774	-1.985876805	-0.214308143	0.046726092	-0.627467707	-0.393194556	0.168023152	-0.101115463	-0.197479019	-0.415624297	-0.412372256	-0.481967267	-1.047393052	-1.40301559	-1.640997806
('PTM: MYO9A-S1733', 'Amino Acid: Serine')	0.200596038	0.563373495	-0.004448877	0.284759195	0.133950255	0.075768151	-0.019745623	-0.160898946	0.08160207	0.200441276	0.268435134	0.110859577	0.25939147	0.452335046	nan	nan	-0.066279119	-0.026940752	0.286615274	0.030658357	-0.135437037	-0.458313034
('PTM: CCM2-S384', 'Amino Acid: Serine')	0.337583954	0.802694134	0.239182515	0.667700003	0.302890186	0.20804431	-0.195045123	-0.709018669	-0.617784263	0.634444192	0.396511598	0.163033793	0.300193474	0.439401349	0.241901279	-0.006728613	0.042496325	0.15488088	0.014821514	0.111715602	-0.263975261	-0.543019035
('PTM: TERF2IP-S203', 'Amino Acid: Serine')	0.325875875	0.253872027	0.179568845	0.231973443	0.388188448	-0.075508202	-0.124321531	-0.184064316	-0.665517866	0.24931576	0.182587886	-0.071239209	-0.125739295	-0.072675961	-0.194458101	-0.08391272	0.089105279	0.03001601	0.417359331	0.254050926	0.033387813	-0.616577057
('PTM: TNKS1BP1-S851', 'Amino Acid: Serine')	0.046583037	-0.179490195	0.26461239	0.002609688	0.285546938	0.165393757	0.119353779	-0.194906405	-0.571682522	0.13811475	-0.228266271	-0.219351739	-0.240412768	-0.09293066	nan	nan	-0.278023056	-0.296830161	-0.834286984	-0.665182395	-0.802361787	-0.37459126
('PTM: TCEAL3-S65', 'Amino Acid: Serine')	0.099048714	0.866755766	0.264255459	0.550810484	0.326214636	nan	nan	nan	nan	0.513485041	0.485980521	0.32441642	0.820261158	1.033065358	0.091513831	0.459459005	-0.06832043	0.278499989	-0.084946128	-0.197490304	-0.144077913	0.119872879
('PTM: ENAH-S125', 'Amino Acid: Serine')	-0.308128627	0.065016367	-0.01495199	-0.200055431	-0.240950868	0.463902439	0.082264104	0.080243572	-0.886907713	0.291763538	-0.132265244	-0.262614108	-0.665853736	-0.453878632	0.242680042	0.116510009	0.095346433	0.126914125	0.851765858	0.365505979	0.343101025	-0.770248512
('PTM: CEP170-S1205', 'Amino Acid: Serine')	0.444381138	0.807276687	0.65631332	0.738118796	0.683742518	0.323014897	-0.198988468	-0.938580733	-0.218672969	-0.125978079	0.225438689	-0.070776867	-0.04866767	0.135094136	-0.976486925	-0.294687502	nan	nan	-0.210836967	1.378004651	0.175019072	0.869306975
('PTM: RSF1-S1345', 'Amino Acid: Serine')	0.236916409	0.746323946	0.268813054	0.180420202	0.515458203	-0.019134329	-0.220475669	-0.354702238	-0.401301545	0.491571668	0.350886614	-0.091546384	0.129979046	0.186773441	0.075825608	0.139297263	0.314558225	0.333253189	0.160575153	-0.031736423	-0.450367528	-0.462373201
('PTM: H2AFX-S139', 'Amino Acid: Serine')	0.069858326	1.168065524	0.059600995	0.534977977	0.199931465	0.35879329	0.290917803	-0.043980768	0.368001487	0.193406307	0.365490362	0.055436184	0.525736346	0.523170206	0.188341919	0.58946259	0.065463617	0.82239633	-0.260413152	0.089046003	1.038466344	1.969504309
('PTM: ULK1-S556', 'Amino Acid: Serine')	0.718147556	-0.562334562	0.738424569	-0.262127247	0.761293924	0.190189508	-0.015913981	-0.310624718	0.525902776	0.224527881	0.734190272	0.35673966	0.1624193	0.463005622	0.224282104	-0.212499282	0.438604437	0.382499694	0.369004377	0.013704284	0.193603675	-0.291120011
('PTM: L3MBTL3-S608', 'Amino Acid: Serine')	0.326453404	0.69881542	0.34468506	0.396254866	0.502886487	-0.229844405	-0.354594666	-0.578770383	-0.67613546	0.451600453	0.153363922	0.128035042	0.213750359	0.288035635	-0.108350569	-0.007873255	-0.149350204	-0.359806258	0.363955495	0.03424985	-0.208008244	-0.325992216
('PTM: VCL-S357', 'Amino Acid: Serine')	0.427724684	0.724162394	-0.183117677	0.46646752	0.409392031	-0.081663606	-0.448720953	-0.520343042	-0.16998504	0.737536293	0.608938599	0.016216907	-0.03250253	0.609707512	0.009832646	0.019932201	0.238121908	0.244469359	nan	nan	nan	nan
('PTM: PHAX-S364', 'Amino Acid: Serine')	0.196724465	0.1926284	0.307582589	0.036492299	0.351262286	nan	nan	nan	nan	0.39998185	0.189274059	0.206708227	-0.097341906	-0.115444921	-0.351817112	0.007966284	0.344103496	0.438113549	-0.379638647	-0.089282569	-0.173764599	-0.860405692
('PTM: RALY-T286', 'Amino Acid: Threonine')	-0.233155634	0.14114042	-0.006574992	0.165929087	0.309945053	-0.250357024	-0.773762566	-0.308966484	0.121362683	0.379043838	-0.380375178	0.197921158	-0.406524695	0.243568123	-0.241492923	0.094372633	-0.059959344	0.174412612	0.003613851	-0.199385248	-0.696166917	-0.346341122
('PTM: ATRX-S84', 'Amino Acid: Serine')	-0.176207411	1.392495297	-0.102926872	0.840586336	0.379678648	nan	nan	nan	nan	-0.010092183	0.126063933	-0.128073543	-0.070994951	0.332142653	-0.718867883	-0.811605674	-1.124684339	-0.831397625	-0.888673588	-0.570058468	-0.369172637	-0.384434091
('PTM: AKAP10-S187', 'Amino Acid: Serine')	0.188353155	0.546439352	0.348866896	0.37221519	0.632895926	-0.474395215	-0.707069756	-0.499009439	-0.934109765	0.350771699	0.032454603	-0.016161431	-0.135208486	0.048667798	-0.197552688	-0.283200865	-0.137644447	-0.810260564	-0.242299591	-0.76982221	-0.945136615	-0.887278158
('PTM: SUV39H1-S391', 'Amino Acid: Serine')	0.269588706	-0.093586343	0.261564336	0.043398192	0.48447117	0.254799977	-0.043138347	-0.338662533	-0.637573924	0.059099416	0.265307067	-0.136112415	-0.157690016	-0.095396585	-0.226692589	0.020774933	0.17793493	0.131210309	0.391252103	0.29773941	-0.073941807	-0.357738975
('PTM: RANBP2-S2831', 'Amino Acid: Serine')	0.133557142	0.462647857	0.211970056	0.278499143	0.286946859	0.240093506	0.121719252	-0.266846487	-0.025606051	0.247161427	0.20683127	-0.162840697	-0.138736546	0.053964729	-0.185595851	0.019244211	0.18243357	0.188781737	-0.096292945	-0.080391758	-0.620737228	-0.780842609
('PTM: PLEC-S2361', 'Amino Acid: Serine')	-0.373161998	-0.082119386	-0.366063336	-0.342678755	-0.250239243	-0.621042055	-0.165472077	-0.439801641	-0.428808064	0.515342424	0.102620146	0.364251497	0.296606172	0.531631765	0.277310519	0.658833233	0.194797788	0.602232159	1.438356158	0.604110523	0.757996671	1.107092113
